Text,Label
Santhu nu masth miss malthondu ullar bro 🤔🤔🤔🤔,uninvolved
Undhe n YouTube d thooyere andala mobile bodathe,discouraging hope
"ತಟ್ಟಿ ನುಂಗೆಲ್ ತಾರೆದ ಮಡಲ್‌ನ್ ನೀರ್‌ಡ್ ಪಾಡ್ದ್ ಅವು ಬೊದುಲಿ ಬೊಕ್ಕ, ಕಡೆರ್ದ್ ಕೊಡಿ ಮುಟ್ಟ ಅಡ್ಡ ನೀಟ ಮೊಡೆವೊಂದು ಪೋಪೆರ್. ತೂಯರೆ ಉಂದು ಪಜೆತ್ತಲೆಕ ತೋಜುಂಡು.

#KooInTulu
#ನಮ್ಮ_ಸೊತ್ತು ",uninvolved
Super comedy deepak rai,encouraging hope
Namma tulundadu comedy first eppodu,uninvolved
Spr bagavathige sir,encouraging hope
Yenchina creativity marre,encouraging hope
Camera wrk super,encouraging hope
"ತುಳು ವ್ಯಂಜನ: ga, ಗ, ഗ

#TuluBaravu
#ReviveTuluScript ",uninvolved
Maya panda maye aduppod,uninvolved
Rathish mendon.. thank you so much anna.. and comment maltina prativoriyagla solmelu ️,encouraging hope
"pudar daane change malthini natakada,..",blended hope
Ondu Call bell lenaa katte.🤣🤣.😂😂😂🤣.,uninvolved
ಜೈ ತುಳು ನಾಡು,encouraging hope
Mast shok und marrey,encouraging hope
Bale Tulu Lipit Bareka | 21.01.2024 | TMA PAI KUDLA #TuluScript #JaiTulunad #BaleTuluLipitBareka,uninvolved
"Undu movie du game play gu ottu korter, so super",encouraging hope
Ayyooo... deva..... avaste,blended hope
Super super super kudlada thuluver.,encouraging hope
ರವಿ ಅಣ್ಣ ನಾ ಆಲ್ಬಮ್ ತೂಲೆ,blended hope
Radhe tooyenda bll detonve🤣😂🤣😂🤣😍,uninvolved
Vdo la frwrd mlte tuwodand,blended hope
masth shokathnd ajjana ashirvada swami koragajja,encouraging hope
ಎರ್ ಕಟೆಪೆ ಕಠಪೆ ನಿನ ಅಮೆ,uninvolved
Twis is Hilarious broo* *Namana anne Storyd twist korpunait expert maare,encouraging hope
Nett comdey olu unndu ...?,blended hope
Swami koragajja ere kaapule,encouraging hope
Love you dodda,encouraging hope
ancer bore and shayu baki daklu super,blended hope
Mast mast yedde atund ️,encouraging hope
"ಕಾವಲಿನ್ ಕರ್ಬ ಬೊಕ್ಕ ಬಲವುದ ಮಣ್ಣ್‌ಡ್ ಮಲ್ಪುವೆರ್.

#KooInTulu
#ನಮ್ಮ_ಸೊತ್ತು ",uninvolved
tulu kalpumbe mooji kasdaya sagar,discouraging hope
"ಒಗ್ಗಿ ಬಲ್ಲ್‌ನ್ ಜೋರುದ ಪೆತ್ತ ಬೊಕ್ಕ ಬೋರ್ಲೆನ್ ಒಲಮೆಗ್ ಕಟ್ಟುನಗ ಬೊಕ್ಕ ಓಡೆಲ ಪತ್ತೊಂದು ಪೋನಗ ಪಾಡುವೆರ್. ಕಂಬುಲದ ಎರ್ಲೆಗ್ ಒಗ್ಗಿ ಪಾಡ್ದ್ ಕೆಸರ್ದ ಕಂಡೊಡು ಗಿಡಪುವೆರ್.ಪುರಿ ಬಲ್ಲ್‌ಡ್ ಉದ್ದೊದ ತೋರದ ಮಣಿಪುದ ಬಲ್ಲ್ ಮಲ್ತ್‌ದ್ ಒಗ್ಗಿ ಬಲ್ಲ್ ತಯಾರ್ ಮಲ್ಪುವೆರ್.
#KooInTulu
#ನಮ್ಮ_ಸೊತ್ತು ",uninvolved
Nama nama edde podya,uninvolved
Over acting manju,blended hope
Arvindanna DSP black erna branda,blended hope
ಇಂಬ್ಯಾನ ಪುಕುಲಿ ವಿಜಯ ಮಲ್ಯ ಡ ಇಪ್ಪಾಂದ್ 😂😂😂,uninvolved
Om namah shivya namaha 🙏🙏🙏🙏,uninvolved
@abhijeetmulya4797  ya bro....film thinkd  ...,uninvolved
CK Annan thunaga 35years back Manglore bus conductor thuilekka aand.akul enchane jagala malthondither.,blended hope
Full nataka upload plzz,encouraging hope
suaprrr mata ellada story undu,discouraging hope
Yenna fav song.....,discouraging hope
Lv u dhodda,encouraging hope
Ayyo papa santhu yerye... Ayena onji mone thojpale... Shut up Santhu🤭🤭,uninvolved
super ajji acting wwaaw masth yedde undu,encouraging hope
Santhu face reveal malpule,uninvolved
"Top dailog nama UB dakul..,️️",blended hope
CK Sir na kannd line haakuna samase baari comedy apundu life is jingalala,encouraging hope
Jus love this ajji.. Appe ath ninna amme teacher hahaha..,encouraging hope
